Host	Symbiont
Peromyscus_californicus	g__CAG-475___Peromyscus_californicus___4921
Peromyscus_californicus	g__UBA3818___Peromyscus_californicus___1749
Hydrochoerus_hydrochaeris	f__Ruminococcaceae___Hydrochoerus_hydrochaeris___6040
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6091
Microtus_ochrogaster	f__Ruminococcaceae___Microtus_ochrogaster___6055
Mus_musculus_domesticus	s__Anaerotruncus_colihominis_A___Mus_musculus_domesticus___816
Mus_musculus_domesticus	s__Anaerotruncus_sp000403395___Mus_musculus_domesticus___813
Rattus_norvegicus	s__Anaerotruncus_sp003612625___Rattus_norvegicus___811
Rattus_norvegicus	s__Anaerotruncus_sp003612625___Rattus_norvegicus___810
Rattus_norvegicus	s__Anaerotruncus_sp003612625___Rattus_norvegicus___812
Mus_musculus_domesticus	s__Anaerotruncus_sp003612625___Mus_musculus_domesticus___807
Mus_musculus_domesticus	g__Anaerotruncus___Mus_musculus_domesticus___5343
Rattus_norvegicus	g__Anaerotruncus___Rattus_norvegicus___5345
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5338
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5339
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5340
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5330
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5331
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5332
Mus_musculus_domesticus	g__Angelakisella___Mus_musculus_domesticus___5333
Rattus_norvegicus	g__Angelakisella___Rattus_norvegicus___5341
Mus_musculus_domesticus	s__Angelakisella_sp013316495___Mus_musculus_domesticus___805
Mus_musculus_domesticus	s__Angelakisella_sp013316495___Mus_musculus_domesticus___806
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6060
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6061
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6068
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6062
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6066
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6067
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6063
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6070
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6064
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6065
Mus_musculus_domesticus	f__Ruminococcaceae___Mus_musculus_domesticus___6069
Rattus_norvegicus	g__Harryflintia___Rattus_norvegicus___3499
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6089
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6090
Rattus_norvegicus	g__UBA1405___Rattus_norvegicus___2123
Rattus_norvegicus	g__UBA1405___Rattus_norvegicus___2124
Peromyscus_californicus	g__Ruminococcus___Peromyscus_californicus___2595
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2598
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2557
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2567
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2559
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2561
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2591
Rattus_norvegicus	s__Ruminococcus_sp002362135___Rattus_norvegicus___241
Rattus_norvegicus	s__Ruminococcus_sp002362135___Rattus_norvegicus___243
Rattus_norvegicus	s__Ruminococcus_sp002362135___Rattus_norvegicus___242
Microtus_ochrogaster	g__Ruminococcus___Microtus_ochrogaster___2578
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2593
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2574
Microtus_oeconomus	g__Ruminococcus___Microtus_oeconomus___2582
Microtus_ochrogaster	g__Ruminococcus___Microtus_ochrogaster___2579
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2563
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2568
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2566
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2551
Mus_musculus_domesticus	g__Ruminococcus___Mus_musculus_domesticus___2583
Mus_musculus_domesticus	g__Ruminococcus___Mus_musculus_domesticus___2584
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2570
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2577
Hydrochoerus_hydrochaeris	g__Ruminococcus___Hydrochoerus_hydrochaeris___2555
Peromyscus_sonoriensis	g__Ruminococcus___Peromyscus_sonoriensis___2596
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2594
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2592
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2600
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2609
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2613
Rattus_norvegicus	s__Ruminococcus_sp900752785___Rattus_norvegicus___237
Microtus_ochrogaster	g__Ruminococcus___Microtus_ochrogaster___2580
Neotoma_albigula	g__Ruminococcus___Neotoma_albigula___2590
Myodes_glareolus	g__Ruminococcus___Myodes_glareolus___2587
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2571
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2562
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2558
Myodes_glareolus	g__Ruminococcus___Myodes_glareolus___2588
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2576
Apodemus_agrarius	g__Ruminococcus___Apodemus_agrarius___2550
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2575
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2564
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2572
Myodes_glareolus	g__Ruminococcus___Myodes_glareolus___2589
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2565
Microtus_agrestis	g__Ruminococcus___Microtus_agrestis___2560
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2604
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2605
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2607
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2610
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2552
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2553
Apodemus_flavicollis	g__Ruminococcus___Apodemus_flavicollis___2554
Microtus_oeconomus	g__Ruminococcus___Microtus_oeconomus___2581
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2569
Microtus_arvalis	s__Ruminococcus_sp009177225___Microtus_arvalis___239
Microtus_agrestis	s__Ruminococcus_sp009177225___Microtus_agrestis___238
Microtus_ochrogaster	s__Ruminococcus_sp009177225___Microtus_ochrogaster___240
Microtus_arvalis	g__Ruminococcus___Microtus_arvalis___2573
Hydrochoerus_hydrochaeris	g__Ruminococcus___Hydrochoerus_hydrochaeris___2556
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2597
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2599
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2603
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2606
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2608
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2601
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2602
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2611
Rattus_norvegicus	g__Ruminococcus___Rattus_norvegicus___2612
Microtus_agrestis	f__Ruminococcaceae___Microtus_agrestis___6041
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2546
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2547
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2549
Rattus_norvegicus	g__Ruminococcus_C___Rattus_norvegicus___2548
Microtus_oeconomus	g__Ruminococcus_C___Microtus_oeconomus___2544
Myodes_glareolus	g__UBA3855___Myodes_glareolus___1744
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1733
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1742
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1735
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1743
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1741
Microtus_ochrogaster	g__UBA3855___Microtus_ochrogaster___1738
Microtus_oeconomus	g__UBA3855___Microtus_oeconomus___1740
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1731
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1728
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1729
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1732
Microtus_agrestis	g__UBA3855___Microtus_agrestis___1730
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1736
Microtus_arvalis	g__UBA3855___Microtus_arvalis___1734
Microtus_ochrogaster	g__UBA3855___Microtus_ochrogaster___1737
Microtus_ochrogaster	g__UBA3855___Microtus_ochrogaster___1739
Neotoma_albigula	g__UBA1394___Neotoma_albigula___2135
Neotoma_albigula	g__UBA1394___Neotoma_albigula___2134
Apodemus_flavicollis	g__UBA1394___Apodemus_flavicollis___2126
Apodemus_flavicollis	g__UBA1394___Apodemus_flavicollis___2127
Apodemus_agrarius	g__UBA1394___Apodemus_agrarius___2125
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2128
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2129
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2131
Mus_musculus_domesticus	g__UBA1394___Mus_musculus_domesticus___2130
Rattus_norvegicus	f__Ruminococcaceae___Rattus_norvegicus___6083
Castor_canadensis	g__UBA5884___Castor_canadensis___1691
Peromyscus_californicus	g__CAG-353___Peromyscus_californicus___4946
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4947
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4949
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4948
Rattus_norvegicus	g__CAG-353___Rattus_norvegicus___4950
Neotoma_albigula	g__CAG-353___Neotoma_albigula___4944
Microtus_arvalis	g__CAG-353___Microtus_arvalis___4939
Microtus_oeconomus	g__CAG-353___Microtus_oeconomus___4943
